Percentile,All Majors,General Agriculture,Agricultural Economics,Animal Sciences,Environment and Natural Resources,Architecture,"Area, Ethnic, and Civilization Studies",Communications,Journalism,Mass Media,Advertising and Public Relations,Communication Technologies,Computer Science,General Education,Elementary Education,Math and Science Teacher Education,Physical and Health Education Teaching,Early Childhood Education,Secondary Teacher Education,Special Needs Education,Social Science or History Teacher Education,Language and Drama Education,Art and Music Education,General Engineering,Aerospace Engineering,"Biological, Biomedical, and Environmental Engineering",Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Industrial and Manufacturing Engineering,Mechanical Engineering,Energy and Extraction Engineering,Engineering Technologies,Linguistics and Foreign Languages,Family and Consumer Sciences,English Language and Literature,Composition and Speech,Liberal Arts,Biology,Biochemistry and Molecular Biology,"Botany, Ecology, and Zoology","Microbiology, Physiology, Genetics, and Neuroscience",Mathematics and Statistics,Intercultural and International Studies,"Physical Fitness, Nutrition, and Sports Studies",Philosophy and Religious Studies,Theology and Religious Vocations,Earth and Other Physical Sciences,Chemistry,Physics,Multidisciplinary Science,Psychology,Criminology and Criminal Justice,Public Administration and Policy,Social Work,Economics,Anthropology and Archeology,Geography,International Relations,Political Science and Government,Sociology,Construction Services,Production and Transportation Technologies,Fine and Studio Arts,Drama and Theater Arts,Music,Commercial Art and Graphic Design,"Film, Video and Photographic Arts",Art History and Criticism,Health and Medical Administration,Medical Technologies and Assistance,Nursing,Treatment Therapy Professions,Accounting and Actuarial Science,Business Management and Administration,Operations and Logistics,International Business and Business Economics,Marketing and Marketing Research,Finance,Human Resources and Personnel Management,Hospitality Management,History,Some High School,High School Degree or GED,"Some College, No Degree",Associates Degree
15,864781,738265,799682,712072,863828,924677,853978,811059,790262,744701,814711,793284,1080472,759487,746282,872307,789265,678781,828971,862555,813405,815310,765497,1116281,1531115,1127591,1424880,1280423,1450657,1442983,1201954,1394677,1391081,951204,789032,673588,798344,718763,724193,1004838,1218907,879830,1050344,1056155,852650,756470,751782,587081,977627,1104483,1217657,857484,797793,813476,819557,727221,1013707,776880,867386,1007922,983891,764310,984573,901202,604504,676976,706749,689120,661057,765284,873250,893298,1081075,950297,959139,842713,1080770,881675,866365,1029178,834079,730007,851373,333996,427402,507826,581689
16,885769,759477,823830,733311,882094,952979,873673,829634,813543,764825,830226,815876,1110656,781801,763810,889311,808467,694473,843641,872958,829516,829009,781917,1151537,1565034,1155758,1472251,1314115,1479902,1476713,1232370,1425666,1421519,981328,807521,691810,818971,733740,745657,1028143,1264503,898058,1085183,1087209,871413,773393,775702,602325,997211,1122700,1254144,878841,817654,830698,833818,739170,1046748,801555,883683,1029953,1007844,785995,1018057,927877,624047,688747,725588,711431,684160,782874,893529,912508,1104246,974846,984493,864406,1108684,904996,890061,1056146,858690,752313,872025,340175,436531,520099,598235
17,901932,774128,842152,751886,898284,984268,891957,846813,832658,781917,848076,825801,1132913,799753,779952,902127,824964,705887,860605,883422,847879,847254,801233,1184115,1605116,1180302,1508269,1338666,1513721,1519182,1259902,1460406,1453457,1010524,828931,708111,839199,759073,762935,1055416,1293186,927470,1110612,1105370,893349,792769,792442,615280,1025492,1149122,1282487,905208,836881,850006,850759,749613,1073917,817461,904822,1058793,1035050,807132,1056239,954211,637825,705901,746224,724572,700004,799090,917290,929018,1124619,993399,1008185,882645,1136115,926266,910828,1081001,877413,768320,896159,345346,446814,530293,613749
18,922423,788487,862572,771132,918676,1014947,918244,865824,850157,799961,861450,835321,1163998,814057,793312,918938,839892,714836,874046,900364,868513,861636,819605,1222455,1628069,1208917,1548033,1371944,1546291,1550313,1292856,1487593,1486849,1036791,846692,722992,858118,782148,785812,1077448,1319121,946197,1130466,1130448,911222,812217,814776,626381,1051061,1174659,1315597,924289,854829,866205,866694,761708,1105541,836222,930693,1092774,1058404,824418,1072361,977837,656409,718540,759510,741524,722427,814663,933190,946550,1142047,1016028,1031354,901379,1158827,954407,931330,1104613,897793,792341,916293,352330,456811,541152,628303
19,945499,806842,877000,789521,938039,1031341,945619,880328,866066,814318,878976,861336,1194544,833351,810721,930396,856872,729813,891991,911933,876683,878017,838734,1251048,1667074,1239576,1577695,1399038,1573397,1580951,1321040,1518292,1518631,1061930,866726,736834,872733,797945,806550,1102012,1351296,972062,1153217,1153588,932349,829489,832594,643110,1071434,1199156,1343137,945541,868924,882705,882608,773886,1133368,850979,956383,1120631,1081804,841777,1105822,996155,676455,736290,773209,761939,736838,837106,950275,964019,1158051,1037112,1057252,921777,1182865,969744,951212,1122672,915425,811855,934171,359154,465666,550745,641563
20,967353,831164,896037,810890,952010,1052503,976070,896051,887228,828896,901251,877487,1224195,850546,825467,944325,876824,745433,911931,928799,893499,890912,854147,1282113,1707017,1267064,1606852,1424622,1604887,1615957,1358475,1554682,1542936,1082006,885253,749729,892850,825320,824019,1126475,1381686,984690,1175897,1175676,948413,845182,854023,656762,1091446,1227219,1387500,966256,884972,894911,900582,785986,1166675,862774,977143,1147098,1104041,854544,1127650,1016143,691768,747166,790759,779796,764713,855009,969564,990087,1175934,1054544,1087702,941658,1217181,996363,970560,1149910,936614,830368,956481,365690,476292,564810,653650
21,986324,850088,912541,825811,971785,1074392,996519,914051,901564,840862,916837,890516,1255004,866035,837917,961110,891947,757588,927071,946846,905598,911006,868669,1309491,1746604,1297598,1657731,1457947,1631271,1653698,1395607,1583565,1566835,1106628,900225,767474,906308,837424,839974,1147544,1410676,1011604,1198768,1203202,959739,860752,871615,671684,1112852,1262418,1419757,988777,899492,913790,924687,796087,1196052,881134,997474,1173179,1127835,870585,1154508,1043424,709821,757392,805706,795609,778758,871726,986606,1010543,1195706,1077197,1108035,961615,1230191,1013842,992642,1176407,955497,847070,980596,373174,486092,576542,663248
22,1007126,866795,933958,847036,989371,1091492,1009972,929846,916186,852265,939109,906114,1279841,879828,850505,968883,903416,769045,943475,956553,926792,922156,880535,1336859,1771247,1324023,1695594,1482161,1666245,1683896,1416437,1608392,1589957,1128727,915620,780149,922498,845173,855608,1173524,1437562,1033303,1218289,1228737,981097,875363,890608,686578,1132719,1290227,1455040,1012042,914002,929828,941285,808338,1226364,899802,1013635,1194565,1152754,886090,1178440,1076312,726957,773656,819065,810794,794948,887990,1004204,1033234,1211693,1095450,1131074,982125,1251458,1037683,1008993,1199093,972560,861672,1000321,378788,496284,588502,673836
23,1029741,881399,950620,863891,1005373,1109550,1029755,947322,935514,869244,957378,919067,1308260,894254,863619,984648,917694,778119,953816,970779,941243,934465,894909,1361035,1802405,1342526,1731859,1507494,1693053,1717250,1462357,1635951,1633837,1149441,935814,796817,939843,861155,868446,1195730,1463379,1051643,1241378,1253165,997799,889184,912363,702787,1157171,1313833,1492479,1029384,930575,947956,956782,823094,1257449,913989,1032640,1219321,1180088,900115,1208605,1091800,741313,785783,838752,824814,811577,897581,1023906,1051931,1232054,1115147,1149122,1000261,1275509,1059899,1029741,1222730,988166,875427,1019571,384432,505045,599801,685651
24,1047456,898426,967992,875924,1021466,1130332,1045962,964025,950191,881879,978728,934461,1330138,905381,877424,995403,928971,791076,967353,981022,955036,944555,906067,1395715,1820238,1366792,1758501,1534491,1710613,1743559,1490929,1662390,1669076,1165798,959685,810227,958584,887668,882947,1218345,1492691,1065282,1265693,1276196,1007926,910839,933821,715235,1181986,1339410,1528648,1041681,945787,965358,971764,835554,1287983,927428,1046002,1240800,1204060,915850,1226928,1115642,752798,800625,855574,840114,821009,916365,1045395,1072848,1248681,1131970,1165930,1017625,1299397,1081217,1053336,1244230,1004066,895514,1038390,392000,514021,611833,698397
25,1067293,917286,983339,889286,1038347,1152172,1058339,978991,967858,895813,995354,951206,1356136,916252,888706,1009920,942849,801728,981676,992552,964685,956813,921485,1423462,1862810,1403754,1790328,1561627,1733542,1766536,1517469,1686610,1693597,1187009,977469,826906,977506,898266,897226,1242505,1520784,1079185,1293281,1303500,1026696,927883,950661,727825,1208109,1365845,1561295,1059724,960931,982935,987491,847968,1312222,948246,1065548,1276246,1229206,927473,1246475,1137786,769087,809739,872283,850560,848522,934452,1059642,1085843,1264434,1149865,1187265,1039585,1321543,1099501,1070074,1268530,1023454,920942,1055743,398984,522286,620861,711784
26,1084218,935948,994602,905139,1053804,1174586,1072206,996521,986235,908303,1009879,965016,1381305,928841,901311,1025094,954942,808996,993614,1001641,976947,965831,933563,1446957,1882955,1433429,1823303,1583854,1760972,1793536,1544991,1709554,1720622,1211109,994247,839452,996116,918320,914993,1266563,1550160,1102960,1312256,1335885,1034923,936570,973675,738476,1233823,1399386,1584046,1078333,979338,1001311,1005146,858225,1344457,959682,1078737,1298823,1260002,943305,1272054,1158856,784457,825721,893137,865538,867112,951128,1076343,1099283,1281105,1166114,1207548,1057196,1347128,1117738,1086389,1293533,1039914,939334,1073396,405688,530391,630790,726036
27,1099566,955602,1029654,926895,1067283,1195735,1095114,1014993,1004325,921845,1027834,984822,1412209,938192,911218,1030643,967034,819057,1004854,1012269,987378,981126,942999,1481414,1919814,1457982,1848826,1605488,1787373,1814609,1560863,1732332,1766335,1230466,1012816,854398,1012869,926471,936578,1289932,1569363,1122986,1334521,1363025,1048072,950824,990289,748924,1258188,1427919,1618908,1092779,995848,1015509,1022230,868193,1378678,977966,1092715,1332210,1283830,959186,1297620,1175621,800494,844838,904092,877888,889781,970449,1092051,1111626,1294751,1178357,1231948,1077742,1375004,1137497,1108762,1318756,1052679,957823,1091325,411334,539679,639103,737393
28,1114707,972579,1045639,941991,1082410,1210229,1113790,1028129,1022017,933395,1040623,997632,1435610,952194,922435,1048485,978295,828170,1017814,1023058,1008313,996453,953272,1507956,1940610,1490589,1878949,1624565,1815680,1842654,1596671,1750986,1788809,1250963,1029774,866244,1030615,941585,955399,1311482,1600205,1153202,1352137,1387159,1072378,965189,1011369,762787,1285253,1460262,1645805,1109069,1010879,1030369,1037593,878791,1409776,994633,1106442,1349885,1307029,974215,1325228,1199095,814471,858746,916941,891993,905360,988673,1113120,1122047,1308414,1193731,1254906,1093792,1399427,1159320,1123409,1339548,1072394,970384,1110845,418018,546662,649650,748772
29,1133231,986132,1066909,960834,1099071,1234899,1129632,1044013,1042919,948775,1052668,1016201,1463562,964651,933839,1061138,988087,839962,1030273,1034030,1023090,1010361,965315,1538248,1972342,1504581,1898590,1644265,1841536,1870271,1623377,1775509,1817481,1275421,1048619,877657,1045986,957886,967940,1332499,1623157,1173457,1368949,1409529,1085995,976730,1026762,775944,1306867,1488155,1671424,1130436,1027989,1044126,1052595,891391,1440210,1010880,1119111,1385754,1332300,988559,1337581,1215837,826299,871380,936833,905755,925100,1006008,1122251,1134684,1323019,1214056,1277062,1109789,1419016,1180465,1137762,1365747,1085421,982784,1131239,423720,556055,659630,759151
30,1149716,1001784,1082541,989391,1112220,1253228,1150625,1060813,1058845,964749,1070725,1034408,1488807,974682,942212,1072463,1002093,848640,1041988,1044276,1033088,1026296,974902,1567093,1990353,1532947,1925740,1666672,1871073,1896236,1648358,1792608,1849874,1292677,1066502,889764,1064668,964306,984064,1352370,1648471,1185758,1392694,1437653,1104294,991786,1043776,788100,1322918,1521837,1696964,1153002,1042168,1059421,1068826,901193,1473395,1029722,1135518,1411283,1356291,1004922,1350222,1244997,836829,886368,949534,918754,939206,1019782,1142980,1144674,1336877,1233913,1297756,1126189,1440130,1199156,1158149,1387509,1103920,995144,1152626,429994,564397,669750,771194
31,1170588,1016223,1105894,1001594,1120873,1271344,1172754,1074711,1072231,979416,1083937,1049413,1512177,985941,950828,1088412,1017767,857860,1052755,1055093,1047554,1035231,989344,1590350,2015334,1561992,1958350,1687936,1896437,1919546,1672462,1809850,1874005,1311162,1082820,900973,1080821,980764,1000004,1378001,1682656,1211591,1416412,1465117,1127792,1006928,1060539,800286,1344148,1546186,1720836,1171238,1055134,1073912,1085302,907852,1506937,1046540,1155232,1422790,1385512,1015995,1370693,1259549,853384,901630,961532,933409,955321,1033299,1159440,1159964,1349094,1250031,1322443,1142282,1460750,1215579,1177623,1413506,1115915,1009927,1174520,435518,574009,681156,782891
32,1189887,1030330,1127425,1019507,1134355,1287335,1192815,1089860,1085870,994011,1109790,1066391,1533532,999512,962005,1099554,1033724,866555,1061374,1063724,1057525,1047214,999486,1608895,2035497,1582893,1983315,1707440,1915394,1941257,1702425,1828802,1909319,1333474,1099965,910347,1096370,1009394,1015017,1404977,1706142,1227883,1446772,1491446,1148427,1020896,1077813,808931,1360376,1573265,1754043,1190053,1069646,1089578,1099167,916660,1536792,1069793,1168836,1446834,1409344,1033007,1396669,1280151,872049,918085,973295,951112,982759,1050811,1173342,1173467,1362762,1269369,1337927,1162311,1479962,1244981,1194961,1438703,1129253,1023137,1192619,440161,583603,692027,796593
33,1209990,1045760,1137378,1029043,1147048,1302619,1207124,1104110,1098479,1011178,1118543,1075815,1561419,1012427,973711,1112541,1041749,875765,1067770,1072218,1067254,1056794,1010182,1636490,2049295,1596121,2010586,1726714,1930932,1965389,1728531,1854289,1933718,1354763,1112355,918238,1107288,1020923,1028395,1430660,1738961,1253196,1469622,1511614,1155939,1036780,1099865,823406,1380309,1598342,1779644,1207339,1085674,1100734,1115421,925441,1565720,1089514,1188135,1472271,1435988,1046906,1427325,1294428,883232,927925,991144,960716,995573,1064300,1194600,1181236,1376222,1290867,1360301,1181272,1497482,1260238,1214136,1461424,1141111,1038763,1211836,445981,591530,702487,809340
34,1230442,1064732,1151074,1044840,1162890,1323273,1232896,1119996,1116311,1029691,1133995,1082280,1584251,1024557,983526,1127136,1055814,884272,1080332,1082365,1078040,1067096,1020651,1663669,2078000,1628227,2034535,1745757,1952064,1987435,1751173,1882606,1956313,1371099,1126999,930443,1123380,1036019,1043205,1455660,1780558,1272787,1494999,1537279,1178156,1051455,1119127,838752,1400476,1624559,1800998,1226045,1097384,1113756,1128390,935147,1592590,1106303,1202311,1506524,1457486,1060951,1451680,1312369,896700,943192,1002676,972421,1006023,1077915,1211771,1195900,1391054,1304246,1378946,1199827,1518233,1278461,1233624,1491406,1157726,1052764,1233515,451697,600268,712625,820065
35,1249134,1079719,1161936,1059881,1174151,1345546,1250618,1134535,1134500,1045574,1150392,1104619,1606877,1035457,994048,1133740,1067756,893632,1090764,1091611,1089808,1081138,1029107,1687209,2090715,1637080,2059716,1765300,1973397,2009251,1772992,1902098,1988697,1397560,1144273,943387,1140865,1046471,1057060,1478369,1804939,1288353,1515782,1560530,1193168,1066844,1138911,853573,1427344,1656122,1826158,1247214,1115174,1128557,1146015,944716,1628634,1123321,1216552,1542918,1482722,1070647,1475162,1332927,910850,954840,1019214,983780,1023649,1086851,1231321,1209063,1406522,1319628,1402185,1219976,1539593,1298405,1255917,1516285,1176197,1067362,1251695,458130,608467,721551,831138
36,1269457,1098762,1173100,1077875,1189177,1368732,1272240,1150837,1148934,1056852,1166250,1112936,1629937,1045421,1003575,1145139,1076268,904147,1100406,1098748,1103855,1094436,1044123,1710162,2114980,1656998,2090472,1780933,1987998,2029857,1792426,1920674,2009787,1419129,1161392,958319,1155369,1063111,1067772,1507537,1826493,1308343,1533097,1585377,1209683,1081450,1162390,866815,1441894,1681266,1849333,1268238,1128406,1140246,1160545,953468,1661633,1133251,1234248,1562249,1504269,1083753,1496320,1347635,930776,967087,1029340,999366,1038832,1111651,1249689,1225703,1416700,1337826,1421911,1240042,1559819,1322773,1270488,1539104,1187878,1080296,1273034,463665,617613,731124,839532
37,1286671,1113057,1193492,1093816,1203385,1387270,1289124,1167415,1167666,1068220,1181503,1125659,1649480,1056929,1012915,1156684,1094271,913888,1111335,1110650,1118329,1104915,1055419,1736147,2138694,1688506,2109342,1799896,2008032,2051922,1817651,1942325,2028918,1438718,1179487,970489,1174201,1078647,1079314,1531992,1857813,1330685,1556982,1612476,1224533,1096582,1180624,876072,1465805,1710058,1884336,1283330,1145509,1153323,1171805,966447,1686901,1150046,1248195,1590952,1531725,1100419,1519901,1365597,943243,983944,1042611,1015041,1050561,1123513,1260488,1239768,1431993,1356133,1451873,1259698,1582882,1350637,1293169,1565283,1209534,1092790,1291323,469590,624915,741485,849371
38,1302291,1136984,1216557,1113500,1220425,1403616,1316460,1182443,1184198,1082771,1200293,1143032,1673299,1067938,1023169,1166191,1105650,924042,1117772,1121411,1127950,1113465,1063878,1758412,2153252,1708884,2128317,1820286,2025743,2073056,1839018,1960334,2060751,1456846,1196448,981146,1191725,1091149,1093895,1557535,1879689,1349720,1584212,1637668,1239336,1111348,1203316,888562,1482261,1738953,1905433,1299570,1161336,1166838,1191010,978232,1716363,1166348,1263527,1631865,1557353,1115133,1543370,1386697,955822,994513,1055043,1028501,1072952,1148695,1278920,1259327,1443517,1368509,1473334,1276010,1613432,1368240,1311860,1585755,1224907,1105740,1308273,476985,632355,752419,860750
39,1324025,1150639,1225846,1132938,1230701,1422184,1340507,1202073,1197047,1094667,1213072,1158659,1696501,1076203,1032442,1172554,1117040,935113,1127286,1130174,1139022,1127008,1075724,1780423,2167474,1754106,2155128,1837131,2041216,2091538,1858501,1974645,2076749,1475870,1211681,994919,1211052,1101493,1107127,1581973,1917909,1370065,1602920,1662077,1250307,1125109,1223855,896952,1505252,1767356,1933800,1316765,1177241,1182240,1210719,987397,1746218,1180006,1277395,1657837,1580261,1131383,1560484,1401589,972696,1011437,1069975,1040591,1090858,1165066,1296553,1271541,1458503,1388495,1495661,1292001,1636285,1386827,1331122,1609277,1239792,1118980,1329758,482843,640494,762115,872142
40,1344364,1162484,1239771,1150178,1245366,1440123,1365070,1225650,1218367,1109044,1221008,1166849,1719234,1085696,1043582,1182165,1130184,947558,1138569,1140359,1153821,1134011,1084380,1803011,2183609,1774039,2177744,1856670,2062092,2112058,1881468,1995657,2106797,1496992,1224284,1007391,1228653,1121250,1125599,1611645,1941532,1395623,1625335,1686534,1267855,1133891,1246499,907868,1520418,1791314,1958489,1340294,1194277,1199950,1229639,998245,1776659,1201507,1300644,1686098,1606805,1144714,1582590,1425088,986667,1018726,1085385,1056217,1108303,1178086,1313227,1288266,1471225,1410555,1518943,1311374,1658432,1408439,1349478,1636748,1258024,1130591,1354110,488446,649967,773812,883031
41,1364627,1184178,1257487,1169997,1262573,1457556,1382109,1241409,1235472,1123174,1244119,1186143,1738214,1097516,1053532,1191268,1142420,960610,1148318,1148834,1165200,1146192,1093654,1824385,2199378,1803119,2194570,1869530,2078892,2130851,1898609,2016407,2127352,1518200,1239391,1019494,1247718,1137684,1140474,1638411,1968382,1417367,1643301,1712316,1278085,1148389,1266094,923600,1534260,1820264,1978680,1364083,1209083,1216945,1247874,1007023,1809183,1214728,1318624,1708108,1633213,1159191,1592019,1445946,1001538,1028453,1098128,1072626,1115630,1197465,1330207,1299087,1486192,1422580,1540297,1330160,1676396,1439287,1371429,1663019,1279660,1148754,1372756,495301,658308,783865,895477
42,1383834,1201360,1280580,1185429,1279954,1476619,1407989,1257523,1251355,1134070,1270552,1202848,1762651,1110820,1062753,1200741,1153587,971373,1158887,1159120,1176860,1158700,1102926,1851370,2213083,1834152,2221754,1888241,2092769,2146374,1918220,2036857,2160700,1537745,1255725,1033404,1264581,1155821,1153851,1664714,1992550,1448501,1665606,1733291,1297630,1162075,1283390,934060,1554180,1846322,2000505,1390801,1228427,1232465,1268401,1016479,1839707,1235021,1332664,1734549,1658353,1172803,1608105,1473505,1016296,1042921,1113710,1085209,1128059,1213204,1346685,1313405,1500339,1437987,1559905,1349383,1696998,1454756,1396521,1691443,1295898,1160691,1397245,502283,666373,794110,905628
43,1403238,1218586,1294493,1205148,1294240,1493294,1425972,1276214,1267481,1149153,1289105,1220848,1786622,1119938,1070468,1209896,1167309,980196,1168727,1168240,1187827,1169911,1112231,1870893,2231551,1860165,2245254,1905413,2105660,2164463,1935200,2054574,2178029,1550665,1272665,1045445,1279959,1170026,1168843,1696903,2017070,1473279,1688817,1759856,1316739,1179545,1301126,945450,1575898,1877310,2024206,1412459,1243166,1248072,1289076,1024031,1868974,1250691,1351311,1750525,1680437,1192001,1632698,1494262,1029870,1053743,1127878,1099257,1151818,1231284,1368492,1324631,1515006,1457307,1582779,1371773,1717384,1474756,1413448,1715637,1308928,1172270,1420660,509282,676290,804083,919119
