Percentile,All Majors,General Agriculture,Agricultural Economics,Animal Sciences,Environment and Natural Resources,Architecture,"Area, Ethnic, and Civilization Studies",Communications,Journalism,Mass Media,Advertising and Public Relations,Communication Technologies,Computer Science,General Education,Elementary Education,Math and Science Teacher Education,Physical and Health Education Teaching,Early Childhood Education,Secondary Teacher Education,Special Needs Education,Social Science or History Teacher Education,Language and Drama Education,Art and Music Education,General Engineering,Aerospace Engineering,"Biological, Biomedical, and Environmental Engineering",Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Industrial and Manufacturing Engineering,Mechanical Engineering,Energy and Extraction Engineering,Engineering Technologies,Linguistics and Foreign Languages,Family and Consumer Sciences,English Language and Literature,Composition and Speech,Liberal Arts,Biology,Biochemistry and Molecular Biology,"Botany, Ecology, and Zoology","Microbiology, Physiology, Genetics, and Neuroscience",Mathematics and Statistics,Intercultural and International Studies,"Physical Fitness, Nutrition, and Sports Studies",Philosophy and Religious Studies,Theology and Religious Vocations,Earth and Other Physical Sciences,Chemistry,Physics,Multidisciplinary Science,Psychology,Criminology and Criminal Justice,Public Administration and Policy,Social Work,Economics,Anthropology and Archeology,Geography,International Relations,Political Science and Government,Sociology,Construction Services,Production and Transportation Technologies,Fine and Studio Arts,Drama and Theater Arts,Music,Commercial Art and Graphic Design,"Film, Video and Photographic Arts",Art History and Criticism,Health and Medical Administration,Medical Technologies and Assistance,Nursing,Treatment Therapy Professions,Accounting and Actuarial Science,Business Management and Administration,Operations and Logistics,International Business and Business Economics,Marketing and Marketing Research,Finance,Human Resources and Personnel Management,Hospitality Management,History,Some High School,High School Degree or GED,"Some College, No Degree",Associates Degree
15,552136,513449,611621,502149,542102,533359,431619,465037,471112,430149,475469,451158,815543,487051,395099,581593,497802,331808,553350,534610,517394,427632,401622,847202,1243554,828169,1089459,984207,1146461,1149048,859977,1125146,992480,713144,396513,302649,418553,374313,397188,722523,909552,554679,740562,713561,415399,456309,465649,375586,705452,840426,887179,596389,465565,601476,500821,433135,697976,412704,545832,598863,656874,469120,736473,745312,283885,325785,321141,327376,365218,359418,570698,547904,738102,582333,673405,599678,832203,554783,553812,767797,591882,445121,534958,144507,213655,266552,352929
16,587118,533159,640504,530830,570160,565574,452537,490387,502281,457253,501555,474491,847026,512498,424372,605729,524879,357189,592089,572539,547426,466672,430687,886786,1310680,860789,1142991,1027959,1206395,1202199,893699,1177009,1059483,746804,427791,322094,445694,397064,424955,760429,969234,584378,770552,750347,434693,480603,491490,396366,740458,877243,932937,623404,491694,623022,534524,459612,734519,434982,574357,630980,684301,494548,780347,770531,302709,345160,342093,350393,382553,373529,596886,579580,772762,612882,703579,630095,868970,586429,583582,801327,610586,472745,564628,152761,225489,283400,373962
17,619587,558595,668511,547893,594303,599249,480900,520865,531807,481095,524899,505666,880324,542666,454080,632005,549187,381560,619960,593597,582066,487419,459224,931531,1358979,907489,1192010,1082056,1258483,1251564,934075,1226236,1117795,786672,454462,344801,467386,430121,451204,792830,1009454,614359,807300,785754,456776,504977,514972,411251,771275,916077,969922,655931,520755,647466,561031,482911,771048,449602,599351,667191,720018,517963,806790,784808,320042,367186,364236,369396,400560,388469,617009,613134,802407,640961,734766,654716,896181,619624,615163,832861,640448,490498,593411,162861,236037,298291,394090
18,644970,579377,687687,570447,614350,635665,509297,545938,555473,504590,548332,524063,916001,567964,482500,673597,574274,404140,643143,619239,608702,519957,482734,981656,1405059,944975,1236965,1119342,1305832,1290664,969785,1258030,1164839,818899,478750,364855,493096,441014,468915,824593,1042094,641899,842412,816138,486535,528671,541747,430847,801537,952397,1003592,683693,544314,671540,586537,502382,802803,481600,625295,696122,753827,541920,821344,809789,336393,384684,385456,394629,420310,417681,645761,642828,836083,665455,764475,677260,924477,647214,637676,864432,672068,516430,626053,171839,248503,312747,411750
19,665119,603712,716533,603401,644214,663180,544027,571513,581312,525108,581416,553118,952587,593331,508390,698714,593971,425426,663160,651326,628928,549353,503988,1018768,1437771,977038,1277665,1154584,1346020,1337556,1014039,1298320,1206522,840013,505576,388940,520401,450443,492030,851362,1078455,666504,876634,843368,521794,554274,561677,447011,829570,987187,1041402,709337,572342,696390,611653,526150,834940,511961,650760,732177,786708,559120,856628,833403,358092,403322,405080,421178,440531,438685,675607,662877,861707,689305,796604,699207,958850,673065,664069,892972,694993,536835,650923,180364,261955,328236,427376
20,692970,624310,741862,626891,673456,691975,569276,598227,605862,551439,602452,570210,991500,617644,533290,723969,620972,441955,684391,679822,646114,574130,526139,1057404,1470523,1007232,1314516,1192217,1380189,1373096,1057945,1334626,1245943,865166,530276,408406,547381,462503,514597,877648,1099089,706245,909165,872410,554281,575668,582968,462133,853210,1020285,1083424,736831,601167,717330,629686,552033,867330,535677,670892,767102,821909,585444,884848,860198,379915,418044,428602,442337,458629,463680,696598,695908,892587,719337,828957,725071,994138,704781,691771,922866,716070,555954,676037,188081,273270,344546,439967
21,723132,650161,764100,642239,702355,721664,588717,625321,626817,567390,627842,594324,1019590,641696,562173,743972,650030,458331,708474,705944,668396,598910,552900,1093788,1507532,1043292,1357459,1224482,1409627,1417153,1090456,1369268,1295978,892200,555303,433690,573627,491514,543402,903471,1136929,736472,927901,905726,575890,597239,607175,482736,890370,1050031,1117746,770480,626396,740845,651102,570648,903895,561539,697523,793942,857292,611544,905260,885178,397446,440227,448114,462551,474175,477404,719317,719303,913680,744481,858465,751893,1027451,727780,716887,949566,739206,585169,704603,194940,283539,359956,456519
22,748445,671738,792583,667311,726020,750216,606213,648511,650584,586830,651897,628856,1047182,666521,588680,767210,672589,478549,725547,723556,691350,623178,573010,1132621,1549611,1067199,1403332,1249877,1456115,1451420,1125070,1406910,1334881,926103,579462,454505,597539,518819,563994,929903,1171676,762888,954907,941443,604498,618532,630684,494628,913450,1074378,1154501,791764,647104,757892,669623,586115,940963,581791,720008,828721,886202,633451,933615,910594,415279,459315,465960,480767,503673,500167,742241,739583,940686,768060,887063,778363,1060629,754519,738433,982025,762711,605312,730991,201140,294899,375105,473607
23,771478,692171,811262,684147,747891,775658,637887,674097,676457,611448,672128,660025,1072880,686687,612648,787601,689644,499246,748309,743991,714180,652936,595009,1168635,1589126,1095020,1443404,1284681,1495977,1487311,1165743,1436596,1366723,956788,610345,474143,622332,538443,583956,960221,1205714,788400,986877,967000,624851,641864,650266,510033,942293,1096437,1193676,812501,669527,774334,703165,606974,973905,605050,744952,860771,911875,653973,960320,934974,430629,473010,483423,499956,531371,526982,761640,758260,967750,791613,909989,800642,1087633,779402,762135,1009902,778603,623696,756700,209865,307038,388295,490996
24,797995,711611,828802,704122,772124,804403,669853,694452,694691,630977,690999,679440,1100493,703822,634986,801324,708651,517507,768807,764107,733976,680025,617225,1199875,1621696,1119562,1480343,1310607,1535532,1524191,1199321,1467608,1395918,988775,635654,490439,647900,566572,606357,987923,1253261,812388,1020199,995284,642585,663179,671378,526736,959953,1127627,1230143,842550,692536,794404,723956,621047,1005797,627454,770206,881523,941216,670662,989523,954828,445235,491877,500114,522775,545558,536274,790078,785824,991164,815272,937668,821625,1112299,806451,789534,1040987,804098,639547,779270,218475,317596,400553,507762
25,823791,733109,852493,724148,795131,828767,689409,714316,717254,654454,714097,697126,1133389,718960,655696,822592,735263,538734,787750,784681,751478,699292,636673,1229513,1661010,1151385,1529408,1338257,1571331,1558864,1242286,1500237,1423744,1009542,657902,510900,672928,582993,629081,1013818,1284382,840659,1045501,1024421,677657,684334,698128,541958,985825,1150959,1267001,866145,712089,812824,746949,641892,1036219,644759,795336,919892,968982,690025,1022231,980960,461258,513726,519757,540043,563497,561826,814238,804244,1010433,838459,962644,842332,1133057,839739,815981,1067586,824202,656295,801327,226856,329405,412111,520958
26,845518,752056,874580,745399,818728,851419,709978,734635,738447,670978,732192,721573,1160962,740125,674846,842644,754010,557150,806841,819197,771729,727796,664830,1258310,1697199,1177597,1568706,1368836,1602972,1588873,1272632,1533014,1461834,1029378,681195,533484,693367,596683,649671,1038317,1324161,864778,1071897,1054018,689161,702980,718014,555993,1012689,1180693,1311736,889641,733459,831746,769908,658305,1069799,665629,822167,947872,992264,712177,1053366,1007760,480889,532971,540430,561388,591513,589856,834678,832086,1029729,864064,989223,861190,1159138,866209,840805,1093739,848027,679437,822789,233392,339834,425408,534937
27,866656,770045,899297,772138,841538,879433,733943,756691,756776,689523,753500,737692,1190739,759166,693171,857217,773615,574802,824947,832845,793107,745428,686378,1280376,1724732,1205744,1595383,1395776,1624058,1623017,1301318,1555643,1500874,1057956,703680,553094,714499,616835,668530,1059002,1353219,887684,1098931,1074782,706303,724066,738439,569578,1032330,1213732,1339589,912618,754223,848292,789403,677272,1103569,690131,850547,986078,1021537,733039,1085637,1024292,498365,548126,554640,583172,604603,608561,857805,851771,1051137,885746,1016577,883271,1184063,889492,865000,1112540,868640,693365,845977,240250,351234,438731,548537
28,882032,788509,917768,789018,859383,907365,758330,780092,777690,704856,783204,758634,1223285,778188,712365,874696,790602,594173,838705,851633,811672,763912,706119,1315171,1745254,1246644,1635078,1426854,1647959,1655991,1339772,1585545,1525137,1082242,727720,566621,740380,631806,687894,1084145,1379966,910665,1127850,1098166,739878,743945,755991,582794,1051968,1240236,1375802,936585,772326,866202,809410,690560,1132456,709452,871435,1006010,1042933,750196,1117243,1052094,517232,564944,575633,604408,623375,633000,877584,873407,1076798,908639,1039659,903937,1209925,917033,889228,1135501,883148,716455,868655,247405,361271,452749,563740
29,902861,812389,928358,800520,879256,930559,786468,798368,794091,726502,804672,773409,1250574,797399,731161,888941,805917,615707,855693,870121,831130,782259,727211,1343779,1774787,1272753,1675900,1448457,1665036,1686524,1370639,1608998,1572559,1107155,749942,589006,760769,650644,704740,1111091,1411384,930264,1150653,1124179,767645,760309,779284,593472,1074953,1275397,1421928,954366,794699,881106,825386,706623,1162256,736038,888103,1037210,1064933,767573,1142658,1080081,533737,586206,592693,620073,641633,650194,898167,891383,1096371,931094,1065095,925438,1229911,940697,912738,1159565,902513,733803,891065,254581,372228,466677,577923
30,927397,830946,946595,819316,893989,958637,815986,817536,817244,750865,822337,792930,1278480,814635,748384,900745,826159,629180,871361,885272,845317,803167,751023,1373015,1799394,1294110,1712761,1477380,1694534,1714474,1408676,1639081,1613979,1128837,768296,606307,781571,664395,725377,1135995,1439937,948576,1169683,1147363,797322,777350,799658,612390,1096176,1299819,1443729,975452,813320,901367,843017,719318,1190671,757311,917283,1058495,1091731,786019,1164367,1107971,552698,601381,611201,636037,662607,666293,918170,909424,1115678,950592,1089426,946870,1255948,964463,931272,1186118,923638,748162,913868,263199,381568,478981,595142
31,949583,856040,962543,835827,908580,986318,845597,834180,833382,768995,840182,810281,1306016,831480,766049,917228,839892,642126,890200,898265,861334,823357,770797,1406388,1818073,1324245,1749206,1500716,1730141,1739569,1449196,1663951,1630882,1153100,785777,623686,802690,681568,746701,1162756,1468715,969676,1192028,1178990,821832,796638,816126,626074,1121138,1322908,1480154,994099,832550,918332,861424,731143,1226189,775433,943172,1085025,1117486,805477,1186460,1124591,570166,620090,629824,655823,674879,688983,937931,926954,1130900,970921,1113423,968293,1286130,980299,947130,1211455,940720,770419,935305,270106,391364,490246,607653
32,972135,871314,983371,848878,926925,1010693,870333,853399,854613,782708,863789,832870,1338191,848145,782675,932050,856395,658910,902546,909978,876791,839449,791952,1438843,1844479,1354720,1771153,1527143,1750336,1767631,1472571,1687323,1658007,1168856,806705,641518,823256,708967,765876,1182480,1500205,996161,1217247,1210416,844315,814160,834870,643317,1145890,1347249,1516348,1013367,849566,934170,883635,743585,1264521,793856,959481,1100411,1147134,822202,1199923,1142437,586688,636994,648780,672031,691167,719681,957611,943638,1147530,992853,1135803,987300,1310417,1002655,969938,1239090,967031,789100,957678,278183,400782,501640,622072
33,993922,891326,999526,867569,943532,1033232,886843,869741,869180,803840,882607,849445,1366103,864168,797566,953987,873646,676850,915567,925336,890552,856750,808525,1471203,1869608,1379275,1800847,1553406,1771987,1798329,1504130,1711815,1693836,1185906,828414,659984,842825,722560,787106,1207715,1529147,1018038,1237742,1234491,870063,830628,853149,657324,1176424,1381753,1542286,1032510,863793,950614,902556,758339,1292944,811594,970141,1137943,1175863,838499,1227703,1170667,602771,651127,666583,686472,711726,738842,974499,963144,1166052,1013057,1151724,1010693,1337873,1021954,990059,1259806,984164,810442,977920,285333,411697,512215,633323
34,1016336,908887,1025354,883815,959882,1055474,909575,889451,887076,817232,902117,866396,1391745,878127,813182,968119,890727,693593,930527,940945,906396,872495,826491,1502846,1912124,1412657,1832043,1576621,1799918,1822666,1534019,1735588,1729244,1211258,849583,672866,861078,744930,803380,1231255,1561459,1041913,1260047,1265757,886931,845335,873868,672905,1199879,1415380,1572347,1053644,880021,969499,926523,771176,1323988,826192,989731,1168690,1202828,853944,1260795,1196184,621363,670782,685573,703080,729833,755685,996886,984403,1182848,1038839,1169602,1031046,1358873,1048694,1013575,1288291,1001184,826614,1000113,292106,422508,525414,644514
35,1036412,927482,1049241,901151,983224,1074918,928106,911003,904644,828035,917685,881546,1420916,890839,828633,980191,906283,706359,944724,957269,923151,888057,841965,1529241,1938522,1436264,1855826,1602558,1823408,1846774,1571187,1757793,1779192,1232978,870159,692489,880819,757840,819987,1257250,1590895,1064256,1282946,1291797,918815,861049,900599,683588,1230752,1450570,1602254,1070569,897411,986090,945488,786319,1357356,843058,1012556,1198903,1235935,870418,1280056,1213283,636879,686284,704367,723974,750896,776898,1014553,1002266,1199526,1059008,1195222,1048134,1380400,1071951,1033852,1311760,1021572,847796,1021867,297866,432589,538546,656512
36,1054982,942552,1074822,924172,1001678,1095109,948521,928240,922107,846367,935111,900633,1442110,903893,843862,997001,920288,720711,961238,967509,942175,903169,859563,1551723,1963226,1474941,1884505,1622873,1848261,1872949,1604172,1779654,1810770,1251601,890067,710619,901798,775807,835533,1281343,1615441,1084179,1305465,1313169,940547,875962,917401,697618,1249980,1477743,1628834,1090487,916361,1001652,965103,798447,1389710,861083,1028603,1231620,1261574,888069,1320769,1237592,652847,701811,725648,746273,769207,801069,1032801,1023270,1218772,1073103,1219526,1067327,1408083,1102643,1052827,1335645,1039192,868105,1041375,303563,443471,551987,667573
37,1072897,961232,1096215,940878,1019467,1109465,966599,945305,939252,859745,952616,921333,1472465,917493,858388,1014718,938651,736971,975530,985168,958361,921952,876037,1575773,1989472,1495088,1908792,1644874,1877394,1903487,1635993,1806443,1838605,1276999,911046,726734,921118,795045,854794,1308022,1638444,1111543,1332609,1340431,961131,892707,937853,711455,1267319,1507640,1661584,1109065,932312,1020990,981927,814508,1427273,878959,1050728,1255673,1290155,903671,1337560,1258164,669824,714577,741183,766633,786127,826563,1047730,1042406,1235819,1097472,1245829,1085081,1438044,1124400,1076878,1367719,1054764,885767,1059506,311722,453917,563642,684447
38,1086845,978460,1113063,963210,1038319,1139384,991495,964348,960752,878864,973198,936826,1496255,932477,872779,1026852,953689,753914,991637,996738,971761,937504,892189,1600352,2006239,1532184,1935022,1663890,1895564,1923304,1666045,1831381,1870787,1299959,926600,743335,939580,812090,871961,1336238,1672467,1128280,1365705,1368732,982585,905578,956967,728918,1291945,1532651,1695434,1130379,951444,1038451,1000648,827056,1457997,894511,1068878,1284188,1314807,921849,1354249,1280003,688098,727925,757973,784683,802160,851624,1064936,1060126,1254029,1114952,1271070,1100406,1457294,1144072,1094305,1394827,1077458,907971,1083586,318479,463562,575582,697732
39,1108557,994589,1132286,982305,1054216,1160880,1015906,981874,985460,896148,992331,952520,1521768,945270,885272,1040360,971790,766681,1002564,1008624,992253,956852,904125,1631512,2033949,1553860,1967385,1690123,1914862,1952456,1693080,1852969,1893174,1319362,950201,758800,959872,843142,890310,1360685,1698548,1152043,1393841,1393717,1004449,920488,982327,742647,1315171,1558247,1721811,1151718,969717,1054215,1016900,840669,1492539,906837,1086443,1305734,1340611,936421,1370493,1300239,702348,745430,776119,801599,824809,873866,1080163,1076837,1269168,1132224,1295481,1121242,1473556,1167885,1114427,1419181,1094958,923297,1105057,325014,473331,587640,710844
40,1127578,1010555,1147348,993372,1074015,1184607,1033935,999983,1007410,912914,1009969,969177,1546327,959123,897705,1052365,983661,782428,1020273,1022127,1011596,970828,922395,1654457,2055260,1583410,1994539,1712458,1936730,1976002,1717033,1877393,1907880,1341894,968179,775708,977837,862537,910343,1384590,1736109,1178795,1411630,1418605,1021926,937207,1001011,756452,1337214,1586518,1751956,1167931,988496,1069125,1038008,851973,1527753,930586,1105327,1328681,1365210,954356,1398869,1322594,717478,762837,793840,819170,841628,889963,1101767,1089471,1290571,1149325,1323761,1142917,1501454,1192305,1131567,1445812,1111472,946631,1125497,332557,482029,597665,724959
41,1150825,1024962,1156121,1017537,1089677,1203124,1057835,1022957,1025780,930031,1028872,980050,1568589,972245,911357,1064997,995570,793283,1033076,1032445,1025523,985395,934752,1683070,2066263,1602251,2019786,1728009,1961879,1999113,1740140,1903568,1942079,1363979,988716,791591,998486,888871,930467,1414701,1766941,1200386,1439675,1446333,1039029,956552,1020004,774039,1357338,1619015,1781270,1187188,1006796,1083734,1053454,866972,1563238,951829,1127969,1355033,1396682,971540,1426574,1347099,732423,775047,810175,832474,858804,914865,1121611,1104042,1304977,1169658,1340742,1165398,1524976,1219285,1150573,1476705,1120063,961188,1150270,340439,491227,607031,738120
42,1170462,1041113,1170637,1034586,1102693,1223754,1075739,1041165,1044402,945335,1050816,995083,1595987,986991,924129,1082507,1011417,804219,1044024,1043484,1040631,998619,947178,1704164,2089645,1623179,2053828,1751778,1983921,2024603,1760391,1920407,1977598,1385448,1011693,805367,1019426,898544,949763,1441837,1807505,1221357,1463103,1475933,1053546,973458,1040454,786588,1383311,1654684,1812569,1211437,1023090,1098545,1074188,877775,1593868,968398,1145689,1393147,1422867,988646,1454990,1369719,746129,790150,825739,847722,876945,925553,1145561,1117991,1319560,1188144,1361159,1187556,1543984,1241603,1170299,1501570,1134405,976498,1171923,347605,501202,619826,750321
43,1193698,1060252,1185132,1061815,1119516,1244951,1102949,1058761,1064345,964100,1068633,1012265,1622737,1000959,934888,1094200,1023156,822923,1060003,1056056,1053328,1015485,960436,1732905,2114287,1652645,2084619,1772220,2012191,2047980,1782353,1945244,2009036,1404933,1031110,818041,1035439,910196,966463,1467953,1836844,1245860,1485952,1505020,1073997,989389,1064604,804193,1402718,1684023,1839537,1227011,1040894,1114261,1086162,890246,1625169,992670,1164806,1416689,1450584,1004628,1475858,1386586,763224,804608,846280,863714,894014,942123,1163730,1126458,1333173,1207262,1387256,1209480,1563834,1266482,1193867,1528659,1152605,989906,1189863,355043,511199,630926,765024
44,1214860,1082384,1203133,1080374,1131542,1261564,1122559,1073829,1079999,979268,1086721,1028635,1647445,1013097,946879,1103426,1037198,835794,1069799,1067958,1068995,1031991,974209,1758140,2138153,1676974,2112387,1788721,2032891,2069415,1807406,1967956,2039340,1427892,1053340,832700,1055957,935216,983695,1497260,1869511,1269535,1512282,1531211,1096667,1005618,1089421,817554,1423083,1712052,1868268,1248129,1058968,1131946,1105334,901013,1657675,1010365,1175417,1460264,1480646,1023674,1508255,1405247,781916,814090,860843,882445,912340,958640,1183481,1141211,1351034,1222334,1410256,1229722,1590616,1289808,1215827,1556188,1165148,1007063,1210562,361411,522524,644537,780053
45,1238873,1102710,1222967,1100036,1144519,1282060,1142847,1089969,1095411,995871,1101450,1046969,1672057,1029028,962372,1117582,1046633,849834,1080284,1077048,1086117,1050121,984561,1783047,2154982,1702783,2139119,1809755,2046484,2092181,1830312,1987582,2060548,1445657,1070144,850240,1072191,952414,1001407,1528219,1893078,1291632,1539157,1553357,1108848,1020361,1111791,830718,1448565,1742802,1896997,1267487,1075430,1146188,1123396,911871,1690413,1031257,1196207,1486537,1505041,1040559,1529274,1429977,799381,834891,880538,899281,937936,975443,1203284,1154010,1364189,1239266,1437592,1251753,1617376,1315716,1238775,1583714,1186050,1020662,1233773,368793,533559,656798,794277
46,1259873,1124366,1239039,1122729,1159723,1308044,1167693,1107539,1112445,1011317,1126018,1068854,1697554,1041194,973451,1129207,1063358,863999,1087744,1089812,1094429,1060866,995741,1805168,2180220,1730984,2163400,1827217,2062980,2111247,1851186,2012039,2085611,1470014,1090678,867569,1087927,973999,1017065,1556284,1916776,1320422,1574098,1579875,1126966,1037806,1130527,842006,1471687,1774090,1921618,1284770,1092863,1163394,1143804,921023,1727426,1053770,1220065,1521494,1530794,1057068,1561451,1458588,818975,852458,897392,913840,956252,989918,1224586,1167334,1378581,1254901,1460647,1269481,1640568,1341572,1262888,1607536,1206479,1038437,1256312,377123,545273,669741,807160
