Percentile,All Majors,General Agriculture,Agricultural Economics,Animal Sciences,Environment and Natural Resources,Architecture,"Area, Ethnic, and Civilization Studies",Communications,Journalism,Mass Media,Advertising and Public Relations,Communication Technologies,Computer Science,General Education,Elementary Education,Math and Science Teacher Education,Physical and Health Education Teaching,Early Childhood Education,Secondary Teacher Education,Special Needs Education,Social Science or History Teacher Education,Language and Drama Education,Art and Music Education,General Engineering,Aerospace Engineering,"Biological, Biomedical, and Environmental Engineering",Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Industrial and Manufacturing Engineering,Mechanical Engineering,Energy and Extraction Engineering,Engineering Technologies,Linguistics and Foreign Languages,Family and Consumer Sciences,English Language and Literature,Composition and Speech,Liberal Arts,Biology,Biochemistry and Molecular Biology,"Botany, Ecology, and Zoology","Microbiology, Physiology, Genetics, and Neuroscience",Mathematics and Statistics,Intercultural and International Studies,"Physical Fitness, Nutrition, and Sports Studies",Philosophy and Religious Studies,Theology and Religious Vocations,Earth and Other Physical Sciences,Chemistry,Physics,Multidisciplinary Science,Psychology,Criminology and Criminal Justice,Public Administration and Policy,Social Work,Economics,Anthropology and Archeology,Geography,International Relations,Political Science and Government,Sociology,Construction Services,Production and Transportation Technologies,Fine and Studio Arts,Drama and Theater Arts,Music,Commercial Art and Graphic Design,"Film, Video and Photographic Arts",Art History and Criticism,Health and Medical Administration,Medical Technologies and Assistance,Nursing,Treatment Therapy Professions,Accounting and Actuarial Science,Business Management and Administration,Operations and Logistics,International Business and Business Economics,Marketing and Marketing Research,Finance,Human Resources and Personnel Management,Hospitality Management,History,Some High School,High School Degree or GED,"Some College, No Degree",Associates Degree
15,782094,685223,761866,628419,806515,874225,724936,783316,761678,712732,799377,769004,1004193,647396,641212,767366,702228,598283,723742,741409,700067,678740,672421,1008718,1338151,1036826,1338108,1205141,1346774,1277457,1054024,1284796,1264331,904972,682475,616520,704757,668461,667701,808546,936410,693455,837653,913743,804527,696644,655154,560911,862266,867305,923107,758757,695769,784744,730103,645868,875563,660600,810297,823424,818861,701179,960038,852104,581305,619296,642493,678621,652937,692114,759753,840269,1032295,785147,891190,800386,1036576,834580,837391,955993,797033,725721,726036,333996,427402,507826,581689
16,798708,708920,791331,644323,824296,904678,748672,797554,780985,732922,817659,794567,1039209,667131,657375,778721,714892,611178,736511,752987,730503,688177,683590,1049442,1356448,1044703,1386491,1229846,1385974,1316866,1092748,1319294,1288167,924270,701782,627481,719740,678407,682872,829238,955815,713110,857974,939778,823473,714607,669848,573103,875703,887783,950417,780926,708989,799233,741721,658578,905037,675308,827212,835857,844163,715521,990833,881131,594117,640919,661164,696746,673531,703812,784916,860477,1050824,807604,913847,819345,1059251,864241,859699,981289,815621,742696,742994,340175,436531,520099,598235
17,822542,730645,807134,663677,843255,934680,766671,814758,800615,748400,829841,812945,1064819,685112,671432,785393,726518,628812,745685,760831,746844,696639,701331,1080786,1427617,1056840,1430659,1259228,1437474,1355145,1122617,1349754,1322287,954319,717225,641622,737020,697140,698316,846486,972331,726991,885595,960121,845656,729555,684551,587437,894664,910422,969051,799268,723935,813979,754594,672572,927771,684962,839751,845199,868122,729098,1040855,910497,609252,661721,676393,712721,684836,711182,807045,876510,1068918,821582,932276,843902,1089170,883674,878978,1005498,829029,761773,764522,345346,446814,530293,613749
18,842552,745198,836383,680253,861392,952387,787906,834058,817665,763755,854013,827148,1092655,698228,684143,796912,738822,637189,762147,772347,755889,718775,718027,1109195,1470284,1067999,1466177,1287739,1469292,1397269,1158725,1376532,1367372,981022,731544,655042,751359,711554,713057,861484,996278,739356,906341,979874,861660,744510,710911,596280,914808,939958,997668,829368,739754,832540,776016,683493,954228,704001,855725,878701,893681,744502,1061289,930754,624551,676022,695791,731113,694798,737876,829110,893817,1089913,840472,957174,862482,1112882,900689,902074,1029532,849170,776535,782784,352330,456811,541152,628303
19,859124,763225,854023,693168,880447,970791,803406,848688,833819,777342,868018,842982,1114980,712004,696143,811241,754341,653662,779960,780432,767002,731674,732122,1140668,1486943,1099422,1502507,1313387,1488166,1427605,1202540,1406695,1382417,1002500,747643,669684,767271,735164,726207,878512,1028869,757161,920392,1004737,884160,760200,730457,609456,940126,955179,1036178,846060,755170,847511,795556,691716,979057,726272,879568,889914,913500,756394,1089337,950313,639640,689373,708777,745894,710655,764719,851709,908638,1108906,858608,976538,878472,1142489,923404,919262,1052303,862873,788700,797699,359154,465666,550745,641563
20,877309,780057,869062,718820,897299,991764,826518,862671,852799,796969,884208,857594,1138092,723029,706191,819191,767956,663210,790533,787949,781648,743578,748455,1170744,1495304,1117981,1532043,1332555,1520804,1451411,1242332,1432833,1405909,1025294,769641,683020,785017,758762,749116,895649,1050747,780404,939572,1026839,886562,771764,741950,623498,958129,972899,1073517,861563,767610,860702,810405,701537,1006559,741765,902334,911713,932929,771795,1104532,967662,653665,703854,727147,764915,732771,772966,872455,931620,1124196,883084,998555,894724,1160379,939483,940183,1077601,882266,810751,814216,365690,476292,564810,653650
21,891872,789066,882467,729941,911523,1015250,845241,878639,868780,809626,903550,877387,1163218,735603,718739,824862,786749,671119,799341,800505,793172,761018,760502,1196558,1546451,1148484,1559674,1356999,1554012,1480086,1277889,1459186,1444678,1051624,784283,700127,800077,767224,763132,909925,1065157,793469,959205,1045653,903545,788390,756873,640075,979215,995774,1087171,877164,783048,874300,827929,711134,1033416,757955,916608,925636,949310,789255,1127739,995518,672894,715876,740253,783077,748262,783455,882971,947903,1141183,901050,1018544,912883,1177702,955740,957582,1097942,899400,831081,828850,373174,486092,576542,663248
22,905343,802974,895687,741774,929968,1036676,848891,895066,884783,823262,921375,878194,1187060,749340,728871,843274,800424,682935,823271,817779,805224,770372,779685,1221676,1575487,1171213,1580843,1381974,1569223,1509275,1296025,1485054,1464562,1067229,804682,713114,816486,784727,781069,923442,1086729,811968,985211,1067523,909239,801256,780996,649811,994374,1013306,1124262,898039,797678,888724,839623,719086,1060078,770362,932266,981637,972533,804983,1153332,1016216,687075,729475,752077,798169,766838,801185,896969,963182,1155415,916625,1039700,930723,1204491,975510,978581,1118131,912056,846100,845746,378788,496284,588502,673836
23,923052,815274,914735,760399,943971,1057318,868565,908236,897593,835845,933304,899287,1216551,761764,739872,853869,813848,691870,835287,825258,815885,780945,792509,1247882,1596653,1198433,1617793,1409232,1587768,1534700,1318632,1513221,1489272,1091157,813339,725904,828540,800277,798543,940151,1094558,823277,1002583,1086582,915169,813777,794801,663829,1013983,1032432,1153334,917228,810841,902448,849499,727802,1086729,791448,950201,1017036,983519,820734,1184037,1040334,700076,745733,768501,812577,784217,819481,908712,981011,1171316,938682,1060983,948743,1237021,992247,994314,1137708,933306,862111,859813,384432,505045,599801,685651
24,940515,838149,930329,775944,957286,1076928,886865,921490,913872,849590,947912,915861,1238537,776274,753932,866412,824747,703011,845288,836011,822874,790247,799785,1272627,1609626,1223781,1657230,1432386,1621602,1559255,1345120,1534479,1515371,1112106,825812,735915,840842,815107,813645,955900,1104876,840554,1025716,1100521,937824,829678,806354,672263,1029700,1048619,1180664,929300,822773,918894,869315,733903,1105682,802799,967273,1031090,1001136,834230,1210109,1054917,714754,760470,779852,822280,790873,831676,925609,997827,1187215,960148,1082757,968919,1253130,1013427,1011691,1155718,946062,881667,872788,392000,514021,611833,698397
25,958193,848114,944781,789445,968649,1096917,902631,940677,931146,865295,962922,939253,1266652,786779,766307,879324,840585,711094,856821,840185,846392,802235,812407,1297423,1643558,1236128,1692201,1458700,1640261,1589980,1370450,1554224,1555998,1132006,836264,744458,852217,846910,831578,970503,1123962,858501,1042523,1125697,947705,840023,820911,689548,1048843,1065763,1203269,948785,835695,934414,881602,742421,1126828,811221,979610,1046797,1016930,845724,1235087,1081006,727884,768260,791766,838199,813391,837813,942787,1022362,1197287,973872,1104269,984658,1273927,1030107,1029607,1176642,963580,894695,888768,398984,522286,620861,711784
26,977020,863662,965565,804432,986069,1114037,927865,954622,949602,876672,978832,957385,1287967,801574,774996,887877,852635,720720,867434,849210,850881,819004,822507,1321210,1718450,1252984,1713528,1477116,1670057,1618205,1393072,1576803,1580992,1156484,851671,756284,865898,865218,846537,986681,1138301,873256,1057621,1147468,959186,855336,831010,702212,1068962,1083831,1226546,967115,847082,950075,894273,752939,1145228,822378,996185,1070904,1033805,858695,1268483,1101034,742006,776775,805223,851388,831841,853970,961768,1041386,1215026,987178,1120349,1001005,1289253,1049699,1051606,1196123,983262,912006,906265,405688,530391,630790,726036
27,991422,881734,981158,817341,999759,1134637,941862,968572,962590,892464,998839,972377,1310942,812335,784119,896023,871030,733277,876891,855082,865225,832723,835294,1343050,1731276,1271096,1736467,1501611,1692296,1640113,1420157,1601655,1599288,1173250,863315,769790,876241,880438,856375,1000912,1194288,885870,1071359,1168868,964374,867471,846676,712804,1089240,1092066,1251885,980493,859406,964557,907338,760449,1167338,837811,1021218,1083693,1054257,873766,1287646,1127828,755385,788382,820511,865705,854536,874426,976816,1056555,1227802,999690,1135504,1020448,1313697,1069090,1067460,1219051,1001070,929848,919783,411334,539679,639103,737393
28,1011052,896403,995438,828788,1011027,1153617,951340,982531,976695,905837,1012802,984979,1332899,826147,795933,904203,880982,744844,887445,864957,876178,845416,844513,1362090,1761945,1281963,1762696,1519785,1704158,1666887,1442748,1626753,1618337,1191386,877783,779792,890586,892773,865822,1013677,1222968,908854,1097616,1191623,972020,878415,868956,722198,1106095,1105265,1277995,997671,872154,983233,920398,770908,1190495,850756,1029819,1101797,1069454,886213,1311646,1142468,769864,800183,828101,875865,870455,882125,990657,1072564,1244787,1015804,1151329,1036194,1331685,1085979,1086144,1236584,1014784,943867,937866,418018,546662,649650,748772
29,1031767,911311,1011058,844857,1031196,1169680,970180,1001668,989863,920861,1022811,999458,1356729,836260,805253,916711,888781,750701,895970,872006,885492,859684,853187,1389129,1780507,1295047,1781356,1545821,1723216,1692314,1467321,1643102,1658633,1211625,891105,791234,906813,908984,878732,1031607,1238424,915142,1113891,1214077,995499,892840,880081,732225,1127821,1115905,1301883,1013340,882620,997652,935117,779239,1219655,866129,1042307,1115667,1087577,899315,1325755,1161474,784963,812355,845211,891482,889075,901908,1003648,1083471,1261598,1025682,1172999,1053997,1351141,1101101,1105035,1256905,1025324,958128,951971,423720,556055,659630,759151
30,1044249,923228,1040276,864020,1046908,1181798,983889,1015503,1007312,932917,1037030,1014824,1380116,845706,815766,925213,898264,757749,908167,877140,899438,868890,865353,1415264,1802424,1342089,1812218,1563808,1748164,1710242,1490968,1665940,1683861,1226581,904852,803285,920628,933658,890936,1046922,1261500,931040,1122638,1232397,1000824,904768,900674,742986,1145619,1130665,1319538,1027998,891853,1009790,948381,788419,1248420,879298,1062367,1166996,1104726,907795,1341580,1183859,794525,826589,858372,906217,903967,915408,1020384,1099673,1274915,1042751,1191269,1070288,1370559,1117417,1122559,1276481,1040406,975823,969557,429994,564397,669750,771194
31,1063508,939641,1055276,874128,1060713,1197713,990915,1030036,1024349,947070,1050238,1037606,1401762,856159,822955,933955,909550,765708,915318,886723,908757,878444,873151,1437882,1834180,1357528,1843615,1584917,1771707,1731204,1516717,1680614,1712994,1244625,924805,814398,934115,944839,909325,1058379,1278036,942925,1140000,1259857,1022130,919512,916917,757709,1169800,1139991,1346834,1041031,904124,1027394,961204,799299,1269392,897565,1072640,1190948,1123412,920228,1353418,1201894,806761,850364,863660,919820,918393,927585,1036016,1108814,1286930,1055183,1209937,1086427,1397028,1138557,1134908,1297157,1054219,989105,986179,435518,574009,681156,782891
32,1076867,957001,1069842,885699,1074274,1217700,1010549,1046111,1042422,957649,1070593,1052190,1424846,866072,831375,938372,919472,773003,929197,892176,923138,884805,881879,1459704,1856633,1387975,1865070,1602314,1803104,1752815,1536688,1703404,1745857,1264971,942173,824722,948568,955480,927612,1072750,1302961,946948,1152567,1284566,1038808,931539,933992,768217,1185696,1164515,1371265,1054843,914466,1040700,970929,806317,1290177,903609,1088665,1219222,1140992,928987,1369555,1219591,819184,859935,876025,934246,936528,938328,1056507,1119788,1299702,1073660,1229562,1100178,1420288,1152383,1153603,1320947,1065146,1003024,999152,440161,583603,692027,796593
33,1090870,971297,1087167,896100,1087645,1231561,1018809,1057884,1057887,969265,1085076,1058572,1449283,877487,840619,949419,932140,776493,938199,904489,932658,890591,899164,1483022,1874229,1391559,1889027,1617004,1824206,1776957,1553083,1726174,1772899,1283472,957588,834700,962633,969249,941869,1085050,1319170,958492,1171261,1306656,1046888,944524,951303,776170,1200563,1187950,1401185,1066993,926168,1051677,985669,814634,1316743,911545,1101469,1230112,1157178,942876,1394731,1242579,830484,872636,886881,945968,948700,954932,1066985,1129428,1312413,1089255,1246804,1113902,1441236,1174429,1170739,1340008,1080263,1013903,1012140,445981,591530,702487,809340
34,1103903,990605,1108876,909315,1097744,1251256,1023109,1072131,1066565,985695,1100586,1065139,1474768,887087,849760,957042,942774,784518,944975,911544,936472,897787,916546,1510567,1881823,1404839,1915636,1632429,1838246,1794145,1579694,1741176,1787114,1299627,975378,849323,977243,976284,954555,1097254,1329966,973619,1187552,1329501,1056776,955571,968467,794767,1224210,1208828,1434712,1077684,937075,1064287,1001003,822587,1342781,926549,1118878,1239103,1177782,955956,1429964,1254571,847849,881141,905451,958576,973283,975950,1078260,1140341,1322981,1102629,1269292,1133906,1454769,1190432,1186992,1361489,1093052,1026738,1032546,451697,600268,712625,820065
35,1119168,1004586,1125100,918474,1107577,1272123,1035478,1088414,1083135,1006286,1109738,1077035,1497801,896730,859152,967429,953244,793553,959819,920856,942773,907623,921002,1532175,1921361,1431945,1945513,1650342,1853020,1812693,1611536,1759569,1808089,1310974,988685,859258,992225,999219,967109,1115153,1342044,984949,1202850,1350714,1071411,970708,985064,801930,1244888,1223128,1452897,1093759,948040,1079194,1015689,830773,1369893,938929,1130593,1261878,1198049,969718,1447160,1267590,860754,893380,915364,969476,988522,983841,1090369,1155553,1334957,1125653,1291687,1150017,1474542,1212831,1205258,1381170,1104179,1044411,1045487,458130,608467,721551,831138
36,1136279,1019266,1141021,934705,1118126,1293033,1052894,1104514,1098721,1019227,1132597,1085035,1518749,907126,867776,976113,960194,798490,972442,930447,950030,915400,927552,1553910,1942729,1467018,1961208,1671697,1876913,1836275,1627977,1773342,1830760,1337020,1002214,871531,1005502,1016648,982961,1129132,1363161,1002273,1222151,1374607,1098479,980922,993945,815254,1258017,1240576,1492323,1103380,961125,1092529,1026798,837251,1397482,947993,1145786,1269694,1213252,986396,1484740,1287758,876563,905248,930623,983300,1003692,999742,1107672,1165350,1349316,1135176,1314699,1166155,1490836,1228205,1223680,1402904,1118254,1056158,1057634,463665,617613,731124,839532
37,1155203,1037355,1151545,946138,1128817,1309113,1060271,1117403,1111932,1029838,1150326,1102422,1534336,914557,876532,990978,968813,807196,981418,936976,959515,920775,932687,1571135,1957916,1475947,1985002,1692337,1893051,1855804,1642852,1791071,1849896,1352786,1013261,879971,1021153,1019742,998290,1145772,1386673,1014721,1238372,1392412,1122630,997119,1010422,827229,1272207,1256549,1529019,1123545,977337,1111074,1041114,845649,1424837,966985,1160387,1286524,1233025,996914,1492796,1300120,888439,918023,946163,995902,1021415,1014285,1117993,1173697,1359774,1156055,1330324,1183048,1502181,1239561,1244461,1424119,1130087,1070373,1070524,469590,624915,741485,849371
38,1170701,1046795,1161958,960300,1143038,1320857,1080885,1135016,1132250,1047780,1161450,1113890,1554493,923290,884156,993881,978484,816310,989944,939344,971489,930027,944993,1592003,1984330,1495452,2008200,1709610,1916947,1876552,1655958,1810783,1876035,1367614,1028874,890858,1036840,1038608,1012383,1159059,1411618,1028050,1255356,1411946,1158429,1007748,1025714,842002,1290793,1271990,1549456,1141866,991677,1121292,1052495,851745,1450397,982178,1168812,1310787,1251451,1009872,1515992,1317008,900997,933103,959935,1008600,1036990,1022270,1128232,1184140,1373605,1168146,1346987,1202556,1524275,1262133,1259353,1445563,1148917,1083114,1084987,476985,632355,752419,860750
39,1189471,1064200,1173641,969842,1157479,1338801,1100370,1147891,1144570,1059218,1171731,1119679,1576950,930998,891647,1006143,990312,821904,1001492,949279,977012,935305,950858,1617758,2000902,1515741,2029034,1724130,1929912,1898173,1669931,1830039,1904707,1385971,1045958,899082,1052119,1051740,1019765,1176503,1443122,1044780,1270296,1436266,1165574,1019831,1039931,850187,1309585,1290746,1580726,1160759,1005977,1133668,1065638,859354,1474442,999126,1181023,1335777,1269323,1025935,1533075,1336589,912182,944884,975913,1021021,1071889,1034101,1143448,1199308,1382909,1182640,1364561,1219575,1547978,1283871,1278116,1469727,1155414,1096051,1102332,482843,640494,762115,872142
40,1208230,1077668,1190227,988656,1168402,1362933,1121689,1162704,1152633,1069198,1184247,1138703,1599650,938850,899505,1015321,1000818,825436,1009862,953932,997368,948620,962196,1635693,2015900,1525552,2054760,1738051,1948980,1912067,1701953,1842582,1926006,1403671,1057703,908528,1062128,1062641,1030731,1190705,1457570,1059269,1280757,1457737,1190156,1034199,1055500,863212,1326685,1306792,1594559,1172283,1018729,1147192,1078254,866957,1504663,1019957,1192364,1340826,1290325,1037591,1559223,1355255,927629,959571,985762,1033704,1087844,1047815,1158961,1210791,1394022,1202057,1384582,1238208,1576036,1302450,1300609,1493847,1170822,1115113,1119830,488446,649967,773812,883031
41,1228549,1096138,1209540,1006213,1180950,1378504,1138554,1178886,1171538,1085883,1202136,1159057,1622440,946752,908118,1027897,1012853,832154,1019376,964017,1011069,956856,970769,1649304,2028187,1553844,2072577,1751805,1965169,1928190,1719254,1862202,1954073,1421507,1069391,917542,1080763,1076214,1048140,1205982,1473724,1072355,1291911,1483995,1196937,1042310,1066771,874224,1347908,1325696,1618578,1186778,1031440,1158631,1087783,876062,1532337,1031765,1204259,1363408,1311356,1050802,1584127,1367375,944657,968663,994459,1050519,1104938,1064418,1172883,1227313,1405573,1215791,1405650,1255567,1595373,1324449,1318853,1518207,1189839,1126456,1138744,495301,658308,783865,895477
42,1244860,1110967,1228085,1024798,1194255,1395222,1153275,1196008,1189944,1096105,1221507,1166325,1645393,956645,914086,1035663,1021139,841732,1030067,971986,1016260,966263,979429,1669182,2040629,1569064,2091008,1768233,1986064,1945234,1737732,1880401,1983063,1442464,1080397,928903,1093932,1088585,1059355,1216974,1491440,1086110,1314857,1504940,1204792,1055307,1078547,883875,1374218,1339882,1646558,1205879,1043615,1171223,1103994,884515,1558832,1046658,1222019,1386897,1333937,1063792,1603681,1389630,956972,980991,1003953,1062960,1110408,1067851,1184781,1240942,1419847,1227976,1424958,1272302,1612030,1343886,1333584,1540529,1202679,1139708,1153191,502283,666373,794110,905628
43,1263259,1123139,1246664,1033454,1206256,1414888,1163467,1219535,1206742,1111587,1236202,1178407,1663449,965948,921847,1044384,1033556,845401,1035311,979971,1025193,978114,985776,1690462,2061325,1600285,2112737,1780942,2006848,1963215,1764812,1899590,2022608,1458132,1096309,939623,1112252,1105540,1073758,1236562,1506087,1097450,1328079,1530878,1216576,1072058,1089941,893173,1393772,1359178,1670966,1229289,1058756,1186826,1117993,894066,1581921,1057200,1230244,1412273,1358627,1073078,1622204,1414993,970052,992839,1010261,1079798,1127427,1082006,1197747,1253591,1430399,1246848,1443044,1289573,1631505,1359308,1353067,1563663,1215454,1152523,1170122,509282,676290,804083,919119
44,1277985,1141048,1262645,1046612,1223081,1428700,1178986,1238429,1223726,1127140,1261573,1187105,1687360,975999,930717,1054266,1040605,851782,1042046,988144,1035304,985340,995318,1719213,2082807,1612725,2137776,1798715,2019732,1978185,1784446,1916522,2042389,1479481,1108207,948292,1129631,1120603,1084670,1249724,1523293,1109913,1344903,1551296,1233790,1084330,1106153,907761,1406785,1378410,1697773,1245629,1070372,1200247,1129786,902802,1607752,1070003,1245909,1430109,1379459,1085857,1639454,1430116,980455,1008593,1025309,1090438,1136839,1097966,1211575,1265070,1441977,1259885,1463263,1302986,1649184,1388298,1375552,1583141,1238532,1165421,1190094,514587,685529,812712,931436
45,1296227,1157359,1275985,1060215,1234094,1442461,1198591,1255925,1236819,1142919,1276308,1213167,1707662,984223,938081,1062841,1051996,860552,1050497,996015,1044300,992708,1006439,1736433,2098192,1625752,2149091,1814418,2035095,1996257,1806320,1934057,2068512,1497886,1121985,956227,1144156,1130630,1094961,1263312,1533674,1124088,1362988,1569434,1257811,1096512,1119535,919024,1430427,1401981,1710833,1267476,1082051,1217642,1138133,910309,1637242,1085143,1263824,1465256,1396095,1098393,1661678,1458298,996343,1017829,1038743,1103152,1145781,1127137,1226986,1274514,1454675,1283652,1483578,1321294,1673965,1413685,1395265,1609640,1248610,1188386,1207021,519524,694995,821281,943030
