Percentile,All Majors,General Agriculture,Agricultural Economics,Animal Sciences,Environment and Natural Resources,Architecture,"Area, Ethnic, and Civilization Studies",Communications,Journalism,Mass Media,Advertising and Public Relations,Communication Technologies,Computer Science,General Education,Elementary Education,Math and Science Teacher Education,Physical and Health Education Teaching,Early Childhood Education,Secondary Teacher Education,Special Needs Education,Social Science or History Teacher Education,Language and Drama Education,Art and Music Education,General Engineering,Aerospace Engineering,"Biological, Biomedical, and Environmental Engineering",Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Industrial and Manufacturing Engineering,Mechanical Engineering,Energy and Extraction Engineering,Engineering Technologies,Linguistics and Foreign Languages,Family and Consumer Sciences,English Language and Literature,Composition and Speech,Liberal Arts,Biology,Biochemistry and Molecular Biology,"Botany, Ecology, and Zoology","Microbiology, Physiology, Genetics, and Neuroscience",Mathematics and Statistics,Intercultural and International Studies,"Physical Fitness, Nutrition, and Sports Studies",Philosophy and Religious Studies,Theology and Religious Vocations,Earth and Other Physical Sciences,Chemistry,Physics,Multidisciplinary Science,Psychology,Criminology and Criminal Justice,Public Administration and Policy,Social Work,Economics,Anthropology and Archeology,Geography,International Relations,Political Science and Government,Sociology,Construction Services,Production and Transportation Technologies,Fine and Studio Arts,Drama and Theater Arts,Music,Commercial Art and Graphic Design,"Film, Video and Photographic Arts",Art History and Criticism,Health and Medical Administration,Medical Technologies and Assistance,Nursing,Treatment Therapy Professions,Accounting and Actuarial Science,Business Management and Administration,Operations and Logistics,International Business and Business Economics,Marketing and Marketing Research,Finance,Human Resources and Personnel Management,Hospitality Management,History,Some High School,High School Degree or GED,"Some College, No Degree",Associates Degree
15,476283,468653,603608,436633,475818,488279,347813,441674,432440,402429,452966,433302,742263,382800,280162,420022,403701,253027,400875,354489,391691,313501,307859,738897,1049064,682078,973986,887888,1017785,980556,761952,1044717,890483,688063,310668,260487,328659,334253,353010,478211,580220,396650,476618,579616,401858,402558,377034,327454,555293,562816,583071,515919,357776,577228,433122,345088,596679,328288,483611,489240,519710,412438,734734,705798,271105,303310,293454,321588,364991,308158,479919,510494,695712,445344,604434,562192,788218,517073,531628,697552,545369,433446,429449,144507,213655,266552,352929
16,508928,499113,629933,457881,498478,521317,359503,463558,460505,432314,481743,476893,779377,402752,300027,450430,423703,279107,433372,379260,411702,330798,324155,781073,1103650,717506,1031521,931063,1079867,1025576,790092,1086652,920380,716296,330677,275193,355965,353921,378423,507475,630569,420541,504500,610334,435974,427827,398227,337263,586885,594857,620019,538881,388385,599477,457162,361815,624004,348403,513419,515170,548895,435125,757265,733631,285789,322422,308748,343321,381356,327604,506132,538075,724741,470237,636928,589457,819423,540450,558353,724793,576489,452083,450481,152761,225489,283400,373962
17,535259,520615,655112,470774,525642,549643,378017,487285,486629,454822,513085,499740,815994,423699,320598,480026,442823,293848,452323,398753,428174,355209,344561,820728,1163547,754773,1097895,975256,1132801,1069501,826016,1118269,968130,743218,355213,288995,378998,372815,402139,533763,664663,437445,529372,644489,454963,451996,419287,355271,614474,623635,656234,558804,407270,622484,478916,387426,654248,369177,540017,538435,571284,459736,797623,756489,302745,340024,329047,361282,399961,342558,535109,559642,753684,493138,670335,616198,854846,572656,585022,756108,594573,481225,470572,162861,236037,298291,394090
18,558127,540973,678076,486447,552497,585252,405499,513549,509224,478430,540466,520196,848405,443751,342314,495239,468380,311741,489658,430566,445546,371038,373687,854521,1202080,779864,1147007,1024995,1179570,1108940,856092,1162720,1003622,774495,382258,308133,402344,396130,422926,561659,689923,449174,567920,676205,461448,476987,437998,374051,647175,656634,677661,582568,429787,642311,502435,407107,687597,390357,566589,554800,595907,479222,823357,780380,318001,359987,346140,384348,412403,359429,549711,583210,786343,527262,696583,643022,888025,590182,612907,789870,616565,504422,492744,171839,248503,312747,411750
19,581664,558664,699062,506041,578412,612069,423256,539211,537636,497150,562773,553757,876778,467161,357520,509740,490126,329188,507759,446091,479927,388858,391815,896799,1227814,813211,1188123,1063436,1235180,1143510,901333,1196533,1056043,807937,400147,325966,425111,413843,446383,584834,726864,466254,592584,701603,477598,498181,455576,390301,670149,685875,711937,605263,452905,660992,527905,427049,716877,414323,592938,573066,629449,499947,857751,801498,335599,377311,369569,409051,431761,378464,576901,609259,814358,548613,720729,663484,913152,619206,637085,819860,640191,530634,514463,180364,261955,328236,427376
20,612712,578805,726232,530157,600072,638133,455279,560640,561819,516537,591818,561396,906246,489688,377658,530817,514412,345100,539490,471650,509080,407801,409524,936771,1273365,836454,1231857,1104477,1293156,1184721,926190,1231248,1093237,829066,420600,339967,445250,446131,464076,613881,755634,488644,619808,721983,486946,514541,472643,403748,708827,712738,729030,630425,472914,682364,548687,447029,745009,435145,611889,588102,652108,519839,875750,819565,355258,398878,385803,430850,450799,398172,592980,634294,838310,570353,745661,684293,942967,639182,664392,849476,660865,551607,539022,188081,273270,344546,439967
21,636370,598716,743841,548689,630536,669355,469846,584305,587448,541542,605594,580044,935104,506252,398028,560234,533420,359056,564034,503251,528262,428995,434553,970882,1317712,870245,1266948,1131940,1343599,1229771,972135,1264636,1140109,854510,444942,360792,462768,477650,482014,642738,783116,509555,647149,746931,498824,534733,492146,424456,730488,734586,752804,654194,492870,705899,568095,469225,769758,447881,631236,607534,675040,536253,900370,842842,373548,413460,401243,454135,468870,420605,610890,657687,866546,590908,771719,703006,967512,661773,688384,874903,679905,584913,561241,194940,283539,359956,456519
22,657753,616013,768050,567100,654189,700955,483604,612182,610214,560781,626628,612162,967566,525966,414228,578685,556051,379697,594169,525271,541898,454914,459794,1009183,1353974,893834,1307694,1165671,1375302,1268273,1008785,1300135,1193426,881823,466579,377867,482428,496086,502742,663225,795427,528159,666092,773709,512815,557423,508796,439986,751741,757775,783723,677035,511796,725935,587572,487894,791940,465585,653617,644342,698011,555072,922989,863554,390086,427191,419168,471833,484749,436324,640747,681771,893560,609887,801612,727441,1002320,691527,712596,894035,712521,599379,578962,201140,294899,375105,473607
23,672829,638574,781392,579638,675478,720738,503411,632138,630451,578051,650046,634888,995286,540265,433889,597049,574953,395236,612030,545698,563821,473754,478571,1040493,1389713,914065,1343871,1194991,1405889,1305458,1047702,1330794,1224844,906490,489169,400313,503620,507578,520551,686224,827915,549482,689358,798211,529708,572898,531897,452832,778342,793617,804514,700719,529529,742350,610541,506457,820785,482939,680274,672903,717005,572887,947151,886998,406205,445341,437808,488160,507302,447402,657406,706543,914151,633163,830186,751995,1030471,715932,735619,919176,736550,616594,602231,209865,307038,388295,490996
24,693948,657076,797791,611569,696635,751663,525564,653662,651713,595683,670402,663169,1026066,560860,452230,623714,593213,415739,631942,563808,578738,492221,503705,1072533,1422314,939273,1388389,1220156,1432245,1339588,1089965,1354846,1254391,935245,511876,415243,527046,527192,543360,708472,849622,567776,719104,824571,548584,594035,549649,467535,800331,817229,832825,719499,547850,762733,627907,516275,847665,508931,696685,701700,743136,592773,979907,906947,421993,458835,450303,511240,527164,468922,677418,727293,934464,655487,855007,774631,1054800,741851,756886,946275,755119,634081,622356,218475,317596,400553,507762
25,717974,677457,820270,628034,721545,775540,546976,675657,667507,614189,685469,678752,1051517,584630,471428,640639,613357,426192,643223,578660,593309,506624,520526,1106833,1462968,972738,1425381,1244424,1465245,1374567,1130782,1386000,1306748,959970,532798,434492,545544,547657,561119,730568,863914,594217,737639,848751,573685,609248,567403,479348,814242,838776,869437,745754,572723,777114,644626,530388,875518,532862,714428,724189,767744,609939,1009442,936555,438716,470566,467492,529183,549430,494101,694013,743519,952019,673006,882869,794756,1085580,761819,780156,972389,780096,656413,645668,226856,329405,412111,520958
26,742054,694023,838799,640430,750349,799010,565917,695586,684549,635616,702065,701247,1075230,603458,492125,668072,636067,439210,662539,594597,614407,526039,535296,1144263,1480709,996695,1456244,1277470,1489853,1404973,1152535,1415351,1333437,982355,552181,452401,563249,566547,580256,752579,880683,609257,755041,867594,600807,634366,584955,497555,834355,863375,907030,762970,591498,793557,662051,546648,903772,548016,739988,748903,792742,626950,1040702,953945,456695,490385,481279,550942,568572,510905,715527,760365,974113,691196,905005,813999,1105958,790601,801546,995801,790290,670441,664822,233392,339834,425408,534937
27,762843,712874,864614,656097,770715,818515,588311,715234,705441,657957,727894,726782,1099579,621559,511168,688842,655954,452800,682410,616294,635242,543659,548329,1165253,1501438,1024364,1492850,1301481,1520794,1437854,1173845,1437916,1369850,1002396,569153,472069,581944,584457,600055,774028,895870,624127,778558,892205,613499,647737,598547,510921,855541,895253,931963,784202,610213,809150,679989,562084,938663,565448,763397,770222,818829,643247,1070366,975099,470992,502687,499061,566526,589758,523782,734331,783518,997046,710256,925279,832749,1133485,815129,831786,1021770,808766,685944,686836,240250,351234,438731,548537
28,781233,724556,884555,668208,788002,842361,605543,736592,728468,671100,755631,739941,1119581,636892,533032,706620,672464,469571,695964,631869,650019,561882,562967,1193556,1545182,1047348,1517220,1324778,1545190,1461562,1199586,1466321,1391378,1030663,588846,488830,607223,602115,617925,794453,918921,638745,813525,920059,628633,664849,615787,524236,879377,919039,960800,797093,627991,825075,698112,574520,962941,582957,783550,794827,841515,658153,1096544,998485,484207,521479,520218,586395,607201,545328,751078,800059,1015275,729319,945592,852335,1150941,843221,853965,1047247,826194,700925,703461,247405,361271,452749,563740
29,801770,736348,903191,684769,804831,864327,622367,752602,745994,684094,775994,751120,1147882,650686,550916,726745,689637,484464,713457,653682,671059,581279,580297,1221215,1572060,1080706,1548024,1347779,1570938,1490356,1228812,1493743,1417755,1052849,606729,502497,627760,622013,635916,812832,941849,654355,837047,940052,651900,681981,628035,542887,897749,941329,982136,818414,649609,840566,714742,593639,991649,601851,806641,847199,866266,677014,1118075,1027694,501535,538178,534422,608481,624937,561153,772098,815997,1036826,746421,965750,872416,1173878,867594,874097,1070479,845262,716970,722945,254581,372228,466677,577923
30,824071,755666,916790,700586,822946,894503,648991,775520,764571,701879,792691,771763,1183072,664243,571277,739920,703627,497980,726258,673471,688035,599434,605133,1247769,1603717,1108050,1583903,1372960,1601773,1520507,1251562,1517170,1440737,1070702,620010,522584,648187,634199,651615,830813,975438,667458,859666,965488,669443,700198,644094,551382,923600,959426,1018138,842428,667982,857567,731377,606857,1016403,618482,820861,859090,883407,693101,1151302,1051305,518825,556058,549062,625689,647648,570794,792206,836548,1054534,760722,990087,889897,1194625,889265,897824,1090827,860424,729101,743344,263199,381568,478981,595142
31,843021,775394,932121,722594,849145,921188,661805,795941,785408,718856,816292,786822,1207368,678714,588483,755508,718002,510540,741459,686803,702688,618817,618629,1276787,1641315,1126886,1613461,1396527,1622479,1546582,1281340,1537455,1480592,1096309,634631,537713,664674,640305,670196,846912,992435,681305,882773,990570,681545,715208,658106,562844,943568,978393,1035957,863555,682984,873665,747271,619516,1040737,633090,841834,875853,908227,710665,1171095,1071206,534730,568617,563001,637936,659772,579976,812920,854587,1072659,779644,1013428,906496,1218807,912356,917790,1108160,878697,746518,763285,270106,391364,490246,607653
32,860041,789591,952258,737886,863023,938516,682027,813985,804252,738508,832375,795940,1234616,696137,607766,769526,734038,529054,757480,701634,717628,635969,639186,1291969,1681265,1137745,1652708,1425239,1638468,1575624,1326940,1560978,1502940,1120259,651986,554566,680377,660846,685344,867036,1020444,702720,899957,1011494,720284,733003,674122,572467,974594,998553,1058779,887713,696140,890505,767022,633449,1067950,655203,857863,898879,930397,727361,1197787,1094041,551304,586191,577148,653077,674461,597742,826758,872259,1090593,799858,1036974,928682,1240979,933799,935538,1130067,899642,764337,780084,278183,400782,501640,622072
33,875807,812263,967644,756082,878040,955890,706385,828374,822505,761470,850171,816998,1261423,712721,627549,781200,749537,544403,767855,727760,729709,648809,668438,1317773,1705966,1167522,1678800,1442972,1663826,1600472,1360099,1586138,1536777,1142288,672493,568355,700588,675094,701269,882366,1042673,720013,913923,1036666,728644,753075,694542,587126,989702,1017290,1083509,909068,711744,906221,780754,648490,1093383,673877,890601,928205,947942,744638,1219505,1117824,567008,605223,592135,674715,687806,614219,844171,893105,1109977,819646,1058253,950707,1263344,953110,952454,1153855,921060,792103,798566,285333,411697,512215,633323
34,889442,828375,982987,763178,896016,977798,726605,847090,843619,777924,868547,836222,1288798,727569,646092,799646,763237,563415,782983,740060,746901,669505,684131,1345071,1733351,1185749,1708838,1465176,1691452,1625879,1387375,1607822,1558184,1157652,695663,582325,717562,710468,714915,898035,1054136,741545,932685,1060754,737287,767604,717052,601931,1003255,1032358,1114005,924740,725757,924131,796955,660490,1114851,687571,904873,944110,967511,758276,1236899,1136280,582862,621330,608766,692497,702748,633616,862830,910027,1123122,832270,1078420,968661,1286178,965137,972133,1174240,934720,803661,814177,292106,422508,525414,644514
35,907834,852486,1004371,778613,911297,1000248,742325,863644,859533,795436,886030,866135,1310837,739791,661545,808432,777538,579301,800343,766974,766818,690494,700819,1367642,1764195,1208095,1731523,1488123,1727991,1653553,1413278,1627729,1574211,1175431,714632,596837,736833,718309,733279,915572,1069063,764448,948684,1079546,768309,783231,731568,617059,1028010,1044580,1147649,942964,741447,940195,810818,672617,1137938,702407,922821,952708,981167,773653,1255483,1160111,599826,634039,627326,706891,722831,643210,875196,928777,1138560,853635,1096520,983187,1314956,981021,994906,1195567,955415,824689,829814,297866,432589,538546,656512
36,928677,868049,1024165,794160,924805,1024756,755734,877878,872871,808301,910712,876297,1336155,754648,675787,817167,800817,587232,815256,779275,776549,704623,714449,1391162,1782688,1226724,1752957,1511504,1741526,1679321,1446102,1649592,1618640,1196018,732594,615680,752749,734761,751482,933441,1107763,779825,975051,1102195,781517,796844,752204,630690,1047545,1065259,1186140,954564,758158,956137,830417,682570,1167827,717638,937009,968273,1000986,789655,1288480,1179820,615319,650499,642915,725549,738080,662198,892946,945683,1152699,870245,1115922,1004106,1333841,1005397,1014176,1216800,975512,845355,844914,303563,443471,551987,667573
37,948026,886678,1042004,812497,941288,1047784,773162,896200,889525,822080,919390,902312,1359997,767204,689192,828974,812739,601301,829783,790126,786336,720779,724651,1420182,1813487,1252360,1783826,1529623,1760300,1704162,1472135,1672394,1641893,1215555,743388,634764,770893,750596,770027,948714,1138817,803207,1003141,1123608,798259,808779,760601,644910,1067630,1082361,1212770,972123,774268,971382,846415,693699,1193149,735483,957172,976763,1020310,803578,1312792,1201310,631480,661297,658867,745188,752879,682966,910038,964049,1166464,885350,1135120,1022682,1352679,1021274,1033148,1236637,997419,857621,862246,311722,453917,563642,684447
38,966571,902097,1053510,824249,957445,1069493,783223,914268,907901,837101,940825,910483,1386064,776780,704933,842787,829339,620866,835060,800028,802958,737202,738100,1441374,1833612,1276772,1822122,1554540,1785828,1724562,1500761,1692190,1673246,1232792,756949,647340,785985,768461,783246,962878,1166943,818312,1019686,1145133,811802,820796,778869,659898,1084764,1096595,1242010,984823,790649,984148,858886,702217,1215233,751982,975992,993020,1040805,817207,1334719,1220107,646196,678996,678848,761904,783091,699539,924901,979804,1183649,900648,1154158,1039672,1379349,1041341,1054365,1260792,1014580,877904,879977,318479,463562,575582,697732
39,986740,917663,1083644,840711,977900,1087566,804799,932775,925061,854301,961200,929629,1411458,793981,717385,860668,846079,632421,844915,812536,812520,748508,752740,1473827,1849506,1287019,1846155,1571538,1807660,1751483,1528959,1712524,1696812,1255613,775891,659507,799802,780556,803569,979459,1192501,835706,1046603,1172799,836506,834622,791174,670221,1110721,1114177,1271853,1001191,804958,1003126,877470,711606,1245128,764136,993440,1028575,1060043,832616,1356653,1241617,661912,695326,694774,781165,795880,709831,942649,998253,1199639,923008,1175067,1060225,1398654,1067969,1073057,1282307,1026804,902368,898716,325014,473331,587640,710844
40,1007389,927517,1096772,848724,995564,1108267,827210,948997,942639,868863,977661,940666,1436132,807777,728187,867358,858506,644476,857131,821707,827188,768159,764426,1500758,1860804,1323961,1882808,1594772,1824365,1770437,1548503,1732230,1726114,1272196,791340,672243,816005,795870,817027,1000591,1208452,851309,1074313,1199162,856829,847359,805541,689323,1130641,1140919,1294671,1019722,820146,1018106,894107,721999,1274880,779474,1011751,1040777,1077621,848476,1374023,1267554,675580,706346,712849,798897,810606,723169,956906,1014255,1215234,940982,1194708,1075926,1424460,1089217,1092318,1307947,1043546,917116,918470,332557,482029,597665,724959
41,1025473,940369,1115494,860064,1009647,1125616,838827,966324,963643,885913,996362,954976,1459641,819094,743997,884657,871106,657818,865268,833116,837378,778143,775794,1530710,1879270,1336584,1907280,1611192,1848424,1794449,1571882,1753649,1748241,1291073,803285,688501,833802,812809,831838,1017144,1235850,870477,1090462,1230592,879988,863755,818881,700733,1148536,1159089,1324358,1034794,833779,1032692,907070,730704,1300581,788241,1022314,1057900,1098277,862782,1400232,1283675,689872,721979,725987,814531,831100,742328,979086,1028141,1226777,960150,1216675,1090752,1443170,1108411,1110164,1327589,1055580,935490,931839,340439,491227,607031,738120
42,1043543,961457,1133250,879400,1029675,1141880,861092,983345,984020,901145,1011965,970551,1484151,831842,753409,897384,881547,671786,878549,843043,850471,792953,792617,1546345,1899140,1355731,1923897,1632544,1871132,1816129,1586549,1773976,1780170,1312978,821839,698765,849653,824416,847587,1032070,1263327,886913,1111271,1250975,908679,877321,837425,713645,1167015,1174304,1354205,1047504,847489,1049924,924381,742367,1330820,798583,1039761,1076436,1119422,874550,1420955,1298297,699730,734269,734556,829417,844410,766632,992905,1044732,1244941,977459,1239805,1107226,1468438,1134204,1126390,1354550,1071521,947590,948191,347605,501202,619826,750321
43,1060502,974485,1149487,892918,1046347,1160408,873321,1000466,1003194,919556,1036732,988449,1508316,845876,767005,909863,889806,684914,889636,852999,860752,808384,806793,1566284,1908348,1372076,1950047,1657296,1887184,1838014,1605525,1792818,1808924,1330451,836247,712037,864166,842061,860511,1047242,1273631,899266,1132617,1276266,925281,888932,857111,724847,1188390,1194889,1382464,1067529,860910,1063963,938822,752935,1358235,812939,1052323,1107204,1146102,890302,1454377,1321308,717827,753214,753252,845677,862813,794024,1009042,1062707,1264613,993796,1265475,1130896,1489432,1150036,1145425,1378939,1085807,962365,964706,355043,511199,630926,765024
44,1077250,993280,1163193,909428,1060316,1183794,889276,1019614,1021694,936262,1051460,1009827,1529416,855973,778814,917264,899667,698074,903807,860828,872351,826216,823696,1585236,1931601,1392166,1968347,1677407,1909500,1859457,1626901,1809868,1841178,1348329,855339,729067,884412,859382,877479,1063382,1295433,919868,1145599,1295383,943539,904342,881147,735350,1206325,1213110,1418076,1080221,872059,1078383,955077,766941,1385868,826922,1070044,1127968,1167450,903709,1480287,1346444,730111,770125,770862,860711,880907,819763,1023853,1075766,1281530,1009924,1284381,1147951,1513426,1169467,1164172,1401180,1097004,980894,978569,361411,522524,644537,780053
45,1090338,1008380,1172377,927423,1074153,1200225,910690,1038787,1039541,951306,1071168,1018832,1554089,867902,789342,929258,914118,712189,923332,872244,889564,836612,838452,1608757,1951426,1414473,1999201,1695913,1926782,1883030,1654254,1832412,1873679,1366829,872468,741976,900931,897578,894825,1081048,1314653,930465,1164736,1322539,960555,917702,897802,752657,1227410,1235086,1443995,1099762,885274,1092429,975818,776545,1409781,845714,1089161,1147502,1186611,916888,1508714,1371164,747723,784097,787251,879257,901350,837468,1042221,1089343,1295523,1026496,1309935,1169369,1531180,1193947,1185533,1428029,1112365,992201,994129,368793,533559,656798,794277
46,1107453,1028395,1184882,942511,1087308,1223589,937804,1055302,1055761,970308,1086007,1028732,1575282,877390,803077,941186,924597,725159,934535,885071,905616,845192,848777,1634351,1968600,1438934,2015468,1709610,1948494,1904076,1675320,1852789,1898350,1387174,888039,755996,917057,918521,917198,1095170,1369324,945390,1170464,1339482,969874,929702,929391,768283,1252583,1257576,1495071,1110151,899085,1110302,987845,785128,1440682,860804,1099752,1170855,1206454,931175,1530024,1386966,762877,801637,802844,898586,930865,863007,1053105,1104076,1306424,1042864,1326990,1188542,1554651,1214290,1207749,1454551,1122566,1007204,1011884,377123,545273,669741,807160
47,1128385,1043729,1209183,952632,1101402,1243518,951639,1071977,1072156,982217,1106376,1043783,1600299,892252,815234,956625,939999,735474,943710,895569,920771,853971,865307,1650570,1989398,1463969,2034386,1727333,1963804,1924773,1702474,1873794,1937502,1406479,906630,766598,931926,929941,933277,1113301,1390310,959815,1190388,1367279,997769,946707,947203,783142,1278293,1275201,1518531,1123457,913749,1124960,1003100,796976,1474803,871193,1113500,1199017,1228349,947853,1557762,1405834,779984,814718,815397,913518,947737,870943,1069003,1121415,1318224,1057966,1349897,1211856,1575286,1242080,1229070,1483064,1136630,1025662,1033075,383799,553786,682257,818972
